;ASS_ASSIGNMENT;DATE;WEEK_END;DAY_WE_DS;DAY_OFF;CSPL_RECEIVED_CALLS;YEAR;MONTH;DAY;HOUR
982332;Téléphonie;01/01/2011;1;Samedi;0;0;2011;01;01;00:0
982333;Téléphonie;01/01/2011;1;Samedi;0;1;2011;01;01;00:3
982334;Téléphonie;01/01/2011;1;Samedi;0;0;2011;01;01;01:0
982335;Téléphonie;01/01/2011;1;Samedi;0;0;2011;01;01;01:3
982336;Téléphonie;01/01/2011;1;Samedi;0;0;2011;01;01;02:0
982337;Téléphonie;01/01/2011;1;Samedi;0;0;2011;01;01;02:3
982338;Téléphonie;01/01/2011;1;Samedi;0;0;2011;01;01;03:0
982339;Téléphonie;01/01/2011;1;Samedi;0;0;2011;01;01;03:3
982340;Téléphonie;01/01/2011;1;Samedi;0;0;2011;01;01;04:0
982341;Téléphonie;01/01/2011;1;Samedi;0;0;2011;01;01;04:3
982342;Téléphonie;01/01/2011;1;Samedi;0;2;2011;01;01;05:0
982343;Téléphonie;01/01/2011;1;Samedi;0;0;2011;01;01;05:3
982344;Téléphonie;01/01/2011;1;Samedi;0;0;2011;01;01;06:0
982345;Téléphonie;01/01/2011;1;Samedi;0;1;2011;01;01;06:3
982346;Téléphonie;01/01/2011;1;Samedi;0;0;2011;01;01;07:0
982347;Téléphonie;01/01/2011;1;Samedi;0;0;2011;01;01;07:3
982348;Téléphonie;01/01/2011;1;Samedi;0;1;2011;01;01;08:0
982349;Téléphonie;01/01/2011;1;Samedi;0;1;2011;01;01;08:3
982350;Téléphonie;01/01/2011;1;Samedi;0;1;2011;01;01;09:0
982351;Téléphonie;01/01/2011;1;Samedi;0;1;2011;01;01;09:3
982352;Téléphonie;01/01/2011;1;Samedi;0;0;2011;01;01;10:0
982353;Téléphonie;01/01/2011;1;Samedi;0;2;2011;01;01;10:3
982354;Téléphonie;01/01/2011;1;Samedi;0;2;2011;01;01;11:0
982355;Téléphonie;01/01/2011;1;Samedi;0;2;2011;01;01;11:3
982356;Téléphonie;01/01/2011;1;Samedi;0;2;2011;01;01;12:0
982357;Téléphonie;01/01/2011;1;Samedi;0;4;2011;01;01;12:3
982358;Téléphonie;01/01/2011;1;Samedi;0;1;2011;01;01;13:0
982359;Téléphonie;01/01/2011;1;Samedi;0;4;2011;01;01;13:3
982360;Téléphonie;01/01/2011;1;Samedi;0;2;2011;01;01;14:0
982361;Téléphonie;01/01/2011;1;Samedi;0;2;2011;01;01;14:3
982362;Téléphonie;01/01/2011;1;Samedi;0;1;2011;01;01;15:0
982363;Téléphonie;01/01/2011;1;Samedi;0;3;2011;01;01;15:3
982364;Téléphonie;01/01/2011;1;Samedi;0;3;2011;01;01;16:0
982365;Téléphonie;01/01/2011;1;Samedi;0;3;2011;01;01;16:3
982366;Téléphonie;01/01/2011;1;Samedi;0;2;2011;01;01;17:0
982367;Téléphonie;01/01/2011;1;Samedi;0;2;2011;01;01;17:3
982368;Téléphonie;01/01/2011;1;Samedi;0;2;2011;01;01;18:0
982369;Téléphonie;01/01/2011;1;Samedi;0;2;2011;01;01;18:3
982370;Téléphonie;01/01/2011;1;Samedi;0;3;2011;01;01;19:0
982371;Téléphonie;01/01/2011;1;Samedi;0;3;2011;01;01;19:3
982372;Téléphonie;01/01/2011;1;Samedi;0;4;2011;01;01;20:0
982373;Téléphonie;01/01/2011;1;Samedi;0;3;2011;01;01;20:3
982374;Téléphonie;01/01/2011;1;Samedi;0;2;2011;01;01;21:0
982375;Téléphonie;01/01/2011;1;Samedi;0;1;2011;01;01;21:3
982376;Téléphonie;01/01/2011;1;Samedi;0;1;2011;01;01;22:0
982377;Téléphonie;01/01/2011;1;Samedi;0;1;2011;01;01;22:3
982378;Téléphonie;01/01/2011;1;Samedi;0;0;2011;01;01;23:0
982379;Téléphonie;01/01/2011;1;Samedi;0;0;2011;01;01;23:3
982380;Téléphonie;02/01/2011;1;Dimanche;0;0;2011;01;02;00:0
982381;Téléphonie;02/01/2011;1;Dimanche;0;0;2011;01;02;00:3
